frame,x,y,z,theta,phi,purity,houdini_frame
1,1.000000,0.000000,0.000000,1.570796,0.000000,1.000000,1
2,0.998630,0.052336,0.000000,1.570796,0.052360,1.000000,2
3,0.994522,0.104528,0.000000,1.570796,0.104720,1.000000,3
4,0.987688,0.156434,0.000000,1.570796,0.157080,1.000000,4
5,0.978148,0.207912,0.000000,1.570796,0.209440,1.000000,5
6,0.965926,0.258819,0.000000,1.570796,0.261799,1.000000,6
7,0.951057,0.309017,0.000000,1.570796,0.314159,1.000000,7
8,0.933580,0.358368,0.000000,1.570796,0.366519,1.000000,8
9,0.913545,0.406737,0.000000,1.570796,0.418879,1.000000,9
10,0.891007,0.453990,0.000000,1.570796,0.471239,1.000000,10
11,0.866025,0.500000,0.000000,1.570796,0.523599,1.000000,11
12,0.838671,0.544639,0.000000,1.570796,0.575959,1.000000,12
13,0.809017,0.587785,0.000000,1.570796,0.628319,1.000000,13
14,0.777146,0.629320,0.000000,1.570796,0.680678,1.000000,14
15,0.743145,0.669131,0.000000,1.570796,0.733038,1.000000,15
16,0.707107,0.707107,0.000000,1.570796,0.785398,1.000000,16
17,0.669131,0.743145,0.000000,1.570796,0.837758,1.000000,17
18,0.629320,0.777146,0.000000,1.570796,0.890118,1.000000,18
19,0.587785,0.809017,0.000000,1.570796,0.942478,1.000000,19
20,0.544639,0.838671,0.000000,1.570796,0.994838,1.000000,20
21,0.500000,0.866025,0.000000,1.570796,1.047198,1.000000,21
22,0.453990,0.891007,0.000000,1.570796,1.099557,1.000000,22
23,0.406737,0.913545,0.000000,1.570796,1.151917,1.000000,23
24,0.358368,0.933580,0.000000,1.570796,1.204277,1.000000,24
25,0.309017,0.951057,0.000000,1.570796,1.256637,1.000000,25
26,0.258819,0.965926,0.000000,1.570796,1.308997,1.000000,26
27,0.207912,0.978148,0.000000,1.570796,1.361357,1.000000,27
28,0.156434,0.987688,0.000000,1.570796,1.413717,1.000000,28
29,0.104528,0.994522,0.000000,1.570796,1.466077,1.000000,29
30,0.052336,0.998630,0.000000,1.570796,1.518436,1.000000,30
31,0.000000,1.000000,0.000000,1.570796,1.570796,1.000000,31
32,-0.052336,0.998630,0.000000,1.570796,1.623156,1.000000,32
33,-0.104528,0.994522,0.000000,1.570796,1.675516,1.000000,33
