frame,houdini_frame,x,y,z,theta,phi,purity
1,1,1.000000,0.000000,0.000000,1.570796,0.000000,1.000000
2,2,0.997284,0.052262,0.051899,1.518874,0.052356,0.966945
3,3,0.989433,0.103099,0.101951,1.468668,0.103825,0.934983
4,4,0.976908,0.152051,0.150105,1.420121,0.154406,0.904077
5,5,0.960185,0.198741,0.196333,1.373180,0.204100,0.874193
6,6,0.939743,0.242868,0.240622,1.327789,0.252907,0.845297
7,7,0.916054,0.284198,0.282977,1.283900,0.300826,0.817356
8,8,0.889581,0.322565,0.323415,1.241461,0.347858,0.790338
9,9,0.860768,0.357857,0.361962,1.200424,0.394002,0.764214
10,10,0.830037,0.390015,0.398657,1.160745,0.439259,0.738953
11,11,0.797785,0.419023,0.433542,1.122376,0.483629,0.714527
12,12,0.764383,0.444904,0.466668,1.085277,0.527111,0.690908
13,13,0.730172,0.467714,0.498089,1.049403,0.569706,0.668071
14,14,0.695463,0.487537,0.527862,1.014715,0.611414,0.645988
15,15,0.660540,0.504478,0.556047,0.981174,0.652234,0.624635
16,16,0.625656,0.518659,0.582706,0.948741,0.692166,0.603988
17,17,0.591036,0.530219,0.607902,0.917381,0.731212,0.584023
18,18,0.556876,0.539304,0.631696,0.887057,0.769370,0.564718
19,19,0.523349,0.546069,0.654152,0.857736,0.806640,0.546051
20,20,0.490601,0.550671,0.675331,0.829383,0.843023,0.528002
21,21,0.458757,0.553271,0.695293,0.801968,0.878519,0.510549
22,22,0.427919,0.554028,0.714100,0.775459,0.913127,0.493673
23,23,0.398169,0.553100,0.731807,0.749827,0.946848,0.477355
24,24,0.369574,0.550640,0.748472,0.725041,0.979682,0.461576
25,25,0.342182,0.546798,0.764149,0.701075,1.011628,0.446318
26,26,0.316027,0.541716,0.778891,0.677901,1.042687,0.431565
27,27,0.291131,0.535532,0.792747,0.655494,1.072858,0.417300
28,28,0.267503,0.528376,0.805767,0.633826,1.102142,0.403506
29,29,0.245144,0.520370,0.817997,0.612875,1.130539,0.390169
30,30,0.224044,0.511629,0.829482,0.592617,1.158048,0.377272
31,31,0.204186,0.502261,0.840263,0.573028,1.184669,0.364801
32,32,0.185548,0.492365,0.850381,0.554087,1.210404,0.352743
33,33,0.168101,0.482034,0.859875,0.535771,1.235251,0.341083
34,34,0.151812,0.471353,0.868781,0.518062,1.259211,0.329808
35,35,0.136644,0.460398,0.877133,0.500937,1.282283,0.318907
36,36,0.122557,0.449241,0.884964,0.484379,1.304468,0.308365
37,37,0.109511,0.437946,0.892306,0.468368,1.325765,0.298172
38,38,0.097461,0.426570,0.899188,0.452886,1.346175,0.288316
39,39,0.086364,0.415165,0.905637,0.437916,1.365698,0.278786
40,40,0.076175,0.403777,0.911681,0.423441,1.384333,0.269571
41,41,0.066847,0.392447,0.917342,0.409444,1.402081,0.260660
42,42,0.058338,0.381210,0.922646,0.395910,1.418941,0.252044
43,43,0.050601,0.370098,0.927614,0.382823,1.434914,0.243713
44,44,0.043595,0.359137,0.932266,0.370169,1.450000,0.235657
45,45,0.037275,0.348351,0.936623,0.357933,1.464198,0.227867
46,46,0.031600,0.337758,0.940702,0.346102,1.477509,0.220335
47,47,0.026531,0.327376,0.944522,0.334661,1.489933,0.213052
48,48,0.022027,0.317217,0.948097,0.323599,1.501469,0.206010
49,49,0.018052,0.307292,0.951444,0.312903,1.512117,0.199200
50,50,0.014570,0.297608,0.954577,0.302560,1.521879,0.192616
51,51,0.011546,0.288172,0.957509,0.292559,1.530753,0.186249
52,52,0.008947,0.278987,0.960253,0.282888,1.538739,0.180092
53,53,0.006741,0.270055,0.962821,0.273538,1.545838,0.174139
54,54,0.004900,0.261377,0.965224,0.264496,1.552050,0.168383
55,55,0.003395,0.252951,0.967473,0.255753,1.557375,0.162817
56,56,0.002199,0.244776,0.969577,0.247299,1.561811,0.157435
57,57,0.001287,0.236849,0.971546,0.239125,1.565361,0.152231
58,58,0.000635,0.229165,0.973387,0.231220,1.568023,0.147200
59,59,0.000221,0.221719,0.975110,0.223578,1.569798,0.142334
60,60,0.000024,0.214507,0.976722,0.216187,1.570685,0.137629
61,61,0.000023,0.207522,0.978230,0.209041,1.570685,0.133080
62,62,0.000200,0.200758,0.979641,0.202131,1.569798,0.128681
63,63,0.000539,0.194207,0.980960,0.195450,1.568023,0.124427
64,64,0.001021,0.187864,0.982195,0.188989,1.565361,0.120314
65,65,0.001633,0.181720,0.983349,0.182742,1.561811,0.116337
66,66,0.002359,0.175768,0.984429,0.176702,1.557375,0.112492
67,67,0.003187,0.170001,0.985439,0.170861,1.552050,0.108774
68,68,0.004104,0.164411,0.986383,0.165213,1.545838,0.105178
69,69,0.005099,0.158992,0.987267,0.159752,1.538739,0.101701
70,70,0.006159,0.153735,0.988093,0.154472,1.530753,0.098340
71,71,0.007277,0.148633,0.988866,0.149366,1.521879,0.095089
72,72,0.008441,0.143679,0.989588,0.144428,1.512117,0.091946
73,73,0.009643,0.138866,0.990264,0.139654,1.501469,0.088907
74,74,0.010875,0.134188,0.990896,0.135038,1.489933,0.085968
