frame,houdini_frame,x,y,z,theta,phi,purity
1,1,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000
2,2,0.000662,0.000000,1.000000,0.000662,0.000000,1.000000
3,3,0.002632,0.000000,0.999997,0.002632,0.000000,1.000000
4,4,0.005889,0.000000,0.999983,0.005889,0.000000,1.000000
5,5,0.010410,0.000000,0.999946,0.010410,0.000000,1.000000
6,6,0.016172,0.000000,0.999869,0.016173,0.000000,1.000000
7,7,0.023152,0.000000,0.999732,0.023154,0.000000,1.000000
8,8,0.031328,0.000000,0.999509,0.031333,0.000000,1.000000
9,9,0.040675,0.000000,0.999172,0.040686,0.000000,1.000000
10,10,0.051169,0.000000,0.998690,0.051191,0.000000,1.000000
11,11,0.062785,0.000000,0.998027,0.062826,0.000000,1.000000
12,12,0.075496,0.000000,0.997146,0.075568,0.000000,1.000000
13,13,0.089276,0.000000,0.996007,0.089396,0.000000,1.000000
14,14,0.104097,0.000000,0.994567,0.104285,0.000000,1.000000
15,15,0.119926,0.000000,0.992783,0.120216,0.000000,1.000000
16,16,0.136734,0.000000,0.990608,0.137164,0.000000,1.000000
17,17,0.154486,0.000000,0.987995,0.155107,0.000000,1.000000
18,18,0.173147,0.000000,0.984896,0.174024,0.000000,1.000000
19,19,0.192679,0.000000,0.981262,0.193892,0.000000,1.000000
20,20,0.213042,0.000000,0.977043,0.214688,0.000000,1.000000
21,21,0.234194,0.000000,0.972190,0.236390,0.000000,1.000000
22,22,0.256090,0.000000,0.966653,0.258975,0.000000,1.000000
23,23,0.278683,0.000000,0.960383,0.282422,0.000000,1.000000
24,24,0.301922,0.000000,0.953333,0.306708,0.000000,1.000000
25,25,0.325755,0.000000,0.945454,0.331810,0.000000,1.000000
26,26,0.350127,0.000000,0.936702,0.357707,0.000000,1.000000
27,27,0.374980,0.000000,0.927033,0.384375,0.000000,1.000000
28,28,0.400253,0.000000,0.916405,0.411793,0.000000,1.000000
29,29,0.425883,0.000000,0.904778,0.439938,0.000000,1.000000
30,30,0.451805,0.000000,0.892117,0.468788,0.000000,1.000000
31,31,0.477950,0.000000,0.878387,0.498320,0.000000,1.000000
32,32,0.504248,0.000000,0.863559,0.528511,0.000000,1.000000
33,33,0.530628,0.000000,0.847605,0.559341,0.000000,1.000000
34,34,0.557014,0.000000,0.830503,0.590786,0.000000,1.000000
35,35,0.583330,0.000000,0.812235,0.622823,0.000000,1.000000
36,36,0.609501,0.000000,0.792785,0.655431,0.000000,1.000000
37,37,0.635447,0.000000,0.772145,0.688587,0.000000,1.000000
38,38,0.661089,0.000000,0.750308,0.722269,0.000000,1.000000
39,39,0.686347,0.000000,0.727274,0.756454,0.000000,1.000000
40,40,0.711141,0.000000,0.703049,0.791120,0.000000,1.000000
41,41,0.735392,0.000000,0.677642,0.826245,0.000000,1.000000
42,42,0.759019,0.000000,0.651068,0.861806,0.000000,1.000000
43,43,0.781945,0.000000,0.623347,0.897781,0.000000,1.000000
44,44,0.804092,0.000000,0.594505,0.934147,0.000000,1.000000
45,45,0.825384,0.000000,0.564571,0.970882,0.000000,1.000000
46,46,0.845748,0.000000,0.533583,1.007965,0.000000,1.000000
47,47,0.865111,0.000000,0.501581,1.045371,0.000000,1.000000
48,48,0.883405,0.000000,0.468610,1.083080,0.000000,1.000000
49,49,0.900565,0.000000,0.434721,1.121068,0.000000,1.000000
50,50,0.916529,0.000000,0.399969,1.159314,0.000000,1.000000
51,51,0.931237,0.000000,0.364413,1.197794,0.000000,1.000000
52,52,0.944637,0.000000,0.328117,1.236487,0.000000,1.000000
53,53,0.956678,0.000000,0.291148,1.275370,0.000000,1.000000
54,54,0.967315,0.000000,0.253576,1.314421,0.000000,1.000000
55,55,0.976509,0.000000,0.215476,1.353617,0.000000,1.000000
56,56,0.984225,0.000000,0.176924,1.392937,0.000000,1.000000
57,57,0.990433,0.000000,0.137998,1.432357,0.000000,1.000000
58,58,0.995109,0.000000,0.098780,1.471855,0.000000,1.000000
59,59,0.998237,0.000000,0.059352,1.511409,0.000000,1.000000
60,60,0.999804,0.000000,0.019798,1.550997,0.000000,1.000000
61,61,0.999804,0.000000,-0.019798,1.590596,0.000000,1.000000
62,62,0.998237,0.000000,-0.059352,1.630184,0.000000,1.000000
63,63,0.995109,0.000000,-0.098780,1.669738,0.000000,1.000000
64,64,0.990433,0.000000,-0.137998,1.709236,0.000000,1.000000
65,65,0.984225,0.000000,-0.176924,1.748656,0.000000,1.000000
66,66,0.976509,0.000000,-0.215476,1.787975,0.000000,1.000000
67,67,0.967315,0.000000,-0.253576,1.827172,0.000000,1.000000
68,68,0.956678,0.000000,-0.291148,1.866223,0.000000,1.000000
69,69,0.944637,0.000000,-0.328117,1.905106,0.000000,1.000000
70,70,0.931237,0.000000,-0.364413,1.943799,0.000000,1.000000
