frame,houdini_frame,x,y,z,theta,phi,purity,scale
1,1,0.114162,0.000000,0.000000,1.570796,0.000000,0.114162,0.114162
2,2,0.140520,0.014894,0.000000,1.570796,0.105600,0.141307,0.141307
3,3,0.169145,0.036264,0.000000,1.570796,0.211200,0.172988,0.172988
4,4,0.199026,0.065249,0.000000,1.570796,0.316799,0.209448,0.209448
5,5,0.228766,0.102820,0.000000,1.570796,0.422399,0.250810,0.250810
6,6,0.256592,0.149653,0.000000,1.570796,0.527999,0.297044,0.297044
7,7,0.280406,0.205998,0.000000,1.570796,0.633599,0.347941,0.347941
8,8,0.297884,0.271558,0.000000,1.570796,0.739198,0.403086,0.403086
9,9,0.306613,0.345387,0.000000,1.570796,0.844798,0.461848,0.461848
10,10,0.304265,0.425837,0.000000,1.570796,0.950398,0.523368,0.523368
11,11,0.288807,0.510551,0.000000,1.570796,1.055998,0.586576,0.586576
12,12,0.258700,0.596523,0.000000,1.570796,1.161597,0.650204,0.650204
13,13,0.213104,0.680226,0.000000,1.570796,1.267197,0.712826,0.712826
14,14,0.152037,0.757803,0.000000,1.570796,1.372797,0.772904,0.772904
15,15,0.076477,0.825315,0.000000,1.570796,1.478397,0.828851,0.828851
16,16,-0.011604,0.879020,0.000000,1.570796,1.583996,0.879096,0.879096
17,17,-0.109295,0.915661,0.000000,1.570796,1.689596,0.922160,0.922160
18,18,-0.212891,0.932738,0.000000,1.570796,1.795196,0.956725,0.956725
19,19,-0.318113,0.928733,0.000000,1.570796,1.900796,0.981703,0.981703
20,20,-0.420390,0.903257,0.000000,1.570796,2.006395,0.996294,0.996294
21,21,-0.515164,0.857092,0.000000,1.570796,2.111995,1.000000,1.000000
22,22,-0.598296,0.792271,0.000000,1.570796,2.217595,0.992800,0.992800
23,23,-0.666212,0.711699,0.000000,1.570796,2.323195,0.974861,0.974861
24,24,-0.716304,0.619178,0.000000,1.570796,2.428794,0.946823,0.946823
25,25,-0.747025,0.519001,0.000000,1.570796,2.534394,0.909620,0.909620
26,26,-0.757977,0.415660,0.000000,1.570796,2.639994,0.864467,0.864467
27,27,-0.749896,0.313520,0.000000,1.570796,2.745594,0.812797,0.812797
28,28,-0.724536,0.216526,0.000000,1.570796,2.851193,0.756199,0.756199
29,29,-0.684491,0.127953,0.000000,1.570796,2.956793,0.696347,0.696347
30,30,-0.632945,0.050234,0.000000,1.570796,3.062393,0.634936,0.634936
31,31,-0.573414,-0.015142,0.000000,1.570796,3.167993,0.573614,0.573614
32,32,-0.509466,-0.067643,0.000000,1.570796,3.273592,0.513937,0.513937
33,33,-0.444477,-0.107641,0.000000,1.570796,3.379192,0.457326,0.457326
34,34,-0.381416,-0.136295,0.000000,1.570796,3.484792,0.405037,0.405037
35,35,-0.322681,-0.155395,0.000000,1.570796,3.590392,0.358149,0.358149
36,36,-0.269996,-0.167174,0.000000,1.570796,3.695991,0.317561,0.317561
37,37,-0.224351,-0.174119,0.000000,1.570796,3.801591,0.283991,0.283991
38,38,-0.186006,-0.178782,0.000000,1.570796,3.907191,0.257995,0.257995
39,39,-0.154521,-0.183604,0.000000,1.570796,4.012791,0.239973,0.239973
40,40,-0.128834,-0.190763,0.000000,1.570796,4.118390,0.230193,0.230193
41,41,-0.107352,-0.202042,0.000000,1.570796,4.223990,0.228791,0.228791
42,42,-0.088071,-0.218722,0.000000,1.570796,4.329590,0.235788,0.235788
43,43,-0.068713,-0.241501,0.000000,1.570796,4.435190,0.251086,0.251086
44,44,-0.046867,-0.270430,0.000000,1.570796,4.540789,0.274461,0.274461
45,45,-0.020152,-0.304895,0.000000,1.570796,4.646389,0.305561,0.305561
46,46,0.013614,-0.343611,0.000000,1.570796,4.751989,0.343881,0.343881
