frame,houdini_frame,x,y,z,purity,time_us,T1_us,T2_us
1,1,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,150.00000000,80.00000000
2,2,0.96857215,-0.00000003,0.01335529,0.96866422,2.01680672,150.00000000,80.00000000
3,3,0.93813159,-0.00000011,0.02653231,0.93850671,4.03361345,150.00000000,80.00000000
4,4,0.90864778,-0.00000023,0.03953335,0.90950738,6.05042017,150.00000000,80.00000000
5,5,0.88009060,-0.00000041,0.05236076,0.88164682,8.06722689,150.00000000,80.00000000
6,6,0.85243101,-0.00000063,0.06501685,0.85490691,10.08403361,150.00000000,80.00000000
7,7,0.82564055,-0.00000089,0.07750392,0.82927027,12.10084034,150.00000000,80.00000000
8,8,0.79969205,-0.00000120,0.08982421,0.80472092,14.11764706,150.00000000,80.00000000
9,9,0.77455907,-0.00000154,0.10197997,0.78124367,16.13445378,150.00000000,80.00000000
10,10,0.75021597,-0.00000192,0.11397338,0.75882404,18.15126050,150.00000000,80.00000000
11,11,0.72663793,-0.00000234,0.12580661,0.73744829,20.16806723,150.00000000,80.00000000
12,12,0.70380090,-0.00000279,0.13748181,0.71710317,22.18487395,150.00000000,80.00000000
13,13,0.68168161,-0.00000327,0.14900108,0.69777585,24.20168067,150.00000000,80.00000000
14,14,0.66025748,-0.00000378,0.16036650,0.67945372,26.21848739,150.00000000,80.00000000
15,15,0.63950668,-0.00000432,0.17158014,0.66212427,28.23529412,150.00000000,80.00000000
16,16,0.61940804,-0.00000489,0.18264401,0.64577485,30.25210084,150.00000000,80.00000000
17,17,0.59994108,-0.00000548,0.19356012,0.63039259,32.26890756,150.00000000,80.00000000
18,18,0.58108593,-0.00000610,0.20433044,0.61596412,34.28571429,150.00000000,80.00000000
19,19,0.56282339,-0.00000674,0.21495692,0.60247543,36.30252101,150.00000000,80.00000000
20,20,0.54513480,-0.00000740,0.22544148,0.58991170,38.31932773,150.00000000,80.00000000
21,21,0.52800214,-0.00000808,0.23578602,0.57825713,40.33613445,150.00000000,80.00000000
22,22,0.51140794,-0.00000879,0.24599239,0.56749479,42.35294118,150.00000000,80.00000000
23,23,0.49533527,-0.00000951,0.25606246,0.55760651,44.36974790,150.00000000,80.00000000
24,24,0.47976774,-0.00001024,0.26599804,0.54857273,46.38655462,150.00000000,80.00000000
25,25,0.46468947,-0.00001100,0.27580092,0.54037251,48.40336134,150.00000000,80.00000000
26,26,0.45008508,-0.00001177,0.28547289,0.53298344,50.42016807,150.00000000,80.00000000
27,27,0.43593969,-0.00001255,0.29501568,0.52638167,52.43697479,150.00000000,80.00000000
28,28,0.42223887,-0.00001334,0.30443102,0.52054194,54.45378151,150.00000000,80.00000000
29,29,0.40896864,-0.00001415,0.31372062,0.51543765,56.47058824,150.00000000,80.00000000
30,30,0.39611547,-0.00001497,0.32288615,0.51104103,58.48739496,150.00000000,80.00000000
31,31,0.38366626,-0.00001580,0.33192927,0.50732321,60.50420168,150.00000000,80.00000000
32,32,0.37160830,-0.00001664,0.34085161,0.50425446,62.52100840,150.00000000,80.00000000
33,33,0.35992930,-0.00001749,0.34965480,0.50180433,64.53781513,150.00000000,80.00000000
34,34,0.34861735,-0.00001834,0.35834042,0.49994191,66.55462185,150.00000000,80.00000000
35,35,0.33766093,-0.00001921,0.36691003,0.49863601,68.57142857,150.00000000,80.00000000
36,36,0.32704884,-0.00002008,0.37536520,0.49785537,70.58823529,150.00000000,80.00000000
37,37,0.31677027,-0.00002095,0.38370744,0.49756889,72.60504202,150.00000000,80.00000000
38,38,0.30681474,-0.00002183,0.39193827,0.49774581,74.62184874,150.00000000,80.00000000
39,39,0.29717210,-0.00002272,0.40005917,0.49835589,76.63865546,150.00000000,80.00000000
40,40,0.28783250,-0.00002361,0.40807162,0.49936959,78.65546218,150.00000000,80.00000000
41,41,0.27878642,-0.00002450,0.41597705,0.50075820,80.67226891,150.00000000,80.00000000
42,42,0.27002466,-0.00002540,0.42377691,0.50249396,82.68907563,150.00000000,80.00000000
43,43,0.26153826,-0.00002630,0.43147259,0.50455016,84.70588235,150.00000000,80.00000000
44,44,0.25331857,-0.00002720,0.43906550,0.50690119,86.72268908,150.00000000,80.00000000
45,45,0.24535721,-0.00002810,0.44655700,0.50952264,88.73949580,150.00000000,80.00000000
46,46,0.23764607,-0.00002901,0.45394845,0.51239131,90.75630252,150.00000000,80.00000000
47,47,0.23017728,-0.00002991,0.46124118,0.51548522,92.77310924,150.00000000,80.00000000
48,48,0.22294321,-0.00003082,0.46843652,0.51878362,94.78991597,150.00000000,80.00000000
49,49,0.21593649,-0.00003172,0.47553576,0.52226701,96.80672269,150.00000000,80.00000000
50,50,0.20914999,-0.00003263,0.48254018,0.52591705,98.82352941,150.00000000,80.00000000
51,51,0.20257677,-0.00003353,0.48945106,0.52971661,100.84033613,150.00000000,80.00000000
52,52,0.19621014,-0.00003444,0.49626964,0.53364968,102.85714286,150.00000000,80.00000000
53,53,0.19004361,-0.00003534,0.50299716,0.53770132,104.87394958,150.00000000,80.00000000
54,54,0.18407088,-0.00003624,0.50963483,0.54185768,106.89075630,150.00000000,80.00000000
55,55,0.17828585,-0.00003713,0.51618385,0.54610586,108.90756303,150.00000000,80.00000000
56,56,0.17268264,-0.00003803,0.52264540,0.55043393,110.92436975,150.00000000,80.00000000
57,57,0.16725552,-0.00003892,0.52902066,0.55483085,112.94117647,150.00000000,80.00000000
58,58,0.16199897,-0.00003981,0.53531077,0.55928641,114.95798319,150.00000000,80.00000000
59,59,0.15690763,-0.00004070,0.54151688,0.56379122,116.97478992,150.00000000,80.00000000
60,60,0.15197630,-0.00004158,0.54764010,0.56833659,118.99159664,150.00000000,80.00000000
61,61,0.14719996,-0.00004246,0.55368154,0.57291455,121.00840336,150.00000000,80.00000000
62,62,0.14257373,-0.00004334,0.55964230,0.57751777,123.02521008,150.00000000,80.00000000
63,63,0.13809289,-0.00004421,0.56552345,0.58213952,125.04201681,150.00000000,80.00000000
64,64,0.13375286,-0.00004507,0.57132606,0.58677363,127.05882353,150.00000000,80.00000000
65,65,0.12954924,-0.00004594,0.57705117,0.59141445,129.07563025,150.00000000,80.00000000
66,66,0.12547772,-0.00004680,0.58269981,0.59605682,131.09243697,150.00000000,80.00000000
67,67,0.12153417,-0.00004765,0.58827302,0.60069602,133.10924370,150.00000000,80.00000000
68,68,0.11771456,-0.00004850,0.59377180,0.60532773,135.12605042,150.00000000,80.00000000
69,69,0.11401499,-0.00004934,0.59919713,0.60994805,137.14285714,150.00000000,80.00000000
70,70,0.11043169,-0.00005018,0.60455001,0.61455340,139.15966387,150.00000000,80.00000000
71,71,0.10696103,-0.00005101,0.60983140,0.61914054,141.17647059,150.00000000,80.00000000
72,72,0.10359944,-0.00005184,0.61504226,0.62370652,143.19327731,150.00000000,80.00000000
73,73,0.10034351,-0.00005266,0.62018352,0.62824869,145.21008403,150.00000000,80.00000000
74,74,0.09718989,-0.00005348,0.62525612,0.63276464,147.22689076,150.00000000,80.00000000
75,75,0.09413538,-0.00005429,0.63026097,0.63725219,149.24369748,150.00000000,80.00000000
76,76,0.09117687,-0.00005510,0.63519898,0.64170941,151.26050420,150.00000000,80.00000000
77,77,0.08831135,-0.00005590,0.64007104,0.64613453,153.27731092,150.00000000,80.00000000
78,78,0.08553589,-0.00005669,0.64487803,0.65052599,155.29411765,150.00000000,80.00000000
79,79,0.08284766,-0.00005748,0.64962082,0.65488239,157.31092437,150.00000000,80.00000000
80,80,0.08024390,-0.00005826,0.65430027,0.65920250,159.32773109,150.00000000,80.00000000
81,81,0.07772197,-0.00005904,0.65891723,0.66348521,161.34453782,150.00000000,80.00000000
82,82,0.07527931,-0.00005981,0.66347252,0.66772956,163.36134454,150.00000000,80.00000000
83,83,0.07291342,-0.00006057,0.66796698,0.67193471,165.37815126,150.00000000,80.00000000
84,84,0.07062189,-0.00006133,0.67240141,0.67609993,167.39495798,150.00000000,80.00000000
85,85,0.06840237,-0.00006208,0.67677662,0.68022458,169.41176471,150.00000000,80.00000000
86,86,0.06625260,-0.00006282,0.68109339,0.68430813,171.42857143,150.00000000,80.00000000
87,87,0.06417040,-0.00006356,0.68535251,0.68835014,173.44537815,150.00000000,80.00000000
88,88,0.06215364,-0.00006429,0.68955475,0.69235023,175.46218487,150.00000000,80.00000000
89,89,0.06020026,-0.00006502,0.69370087,0.69630810,177.47899160,150.00000000,80.00000000
90,90,0.05830828,-0.00006574,0.69779162,0.70022354,179.49579832,150.00000000,80.00000000
91,91,0.05647576,-0.00006645,0.70182773,0.70409635,181.51260504,150.00000000,80.00000000
92,92,0.05470083,-0.00006715,0.70580994,0.70792644,183.52941176,150.00000000,80.00000000
93,93,0.05298167,-0.00006785,0.70973896,0.71171374,185.54621849,150.00000000,80.00000000
94,94,0.05131656,-0.00006855,0.71361551,0.71545824,187.56302521,150.00000000,80.00000000
95,95,0.04970377,-0.00006923,0.71744029,0.71915995,189.57983193,150.00000000,80.00000000
96,96,0.04814168,-0.00006991,0.72121398,0.72281895,191.59663866,150.00000000,80.00000000
97,97,0.04662867,-0.00007059,0.72493728,0.72643533,193.61344538,150.00000000,80.00000000
98,98,0.04516321,-0.00007125,0.72861085,0.73000924,195.63025210,150.00000000,80.00000000
99,99,0.04374381,-0.00007191,0.73223536,0.73354083,197.64705882,150.00000000,80.00000000
100,100,0.04236902,-0.00007257,0.73581146,0.73703028,199.66386555,150.00000000,80.00000000
101,101,0.04103744,-0.00007321,0.73933980,0.74047783,201.68067227,150.00000000,80.00000000
102,102,0.03974771,-0.00007386,0.74282102,0.74388369,203.69747899,150.00000000,80.00000000
103,103,0.03849851,-0.00007449,0.74625574,0.74724813,205.71428571,150.00000000,80.00000000
104,104,0.03728857,-0.00007512,0.74964460,0.75057143,207.73109244,150.00000000,80.00000000
105,105,0.03611666,-0.00007574,0.75298819,0.75385386,209.74789916,150.00000000,80.00000000
106,106,0.03498158,-0.00007636,0.75628713,0.75709573,211.76470588,150.00000000,80.00000000
107,107,0.03388217,-0.00007696,0.75954201,0.76029736,213.78151261,150.00000000,80.00000000
108,108,0.03281732,-0.00007757,0.76275342,0.76345908,215.79831933,150.00000000,80.00000000
109,109,0.03178593,-0.00007816,0.76592194,0.76658122,217.81512605,150.00000000,80.00000000
110,110,0.03078695,-0.00007875,0.76904815,0.76966414,219.83193277,150.00000000,80.00000000
111,111,0.02981937,-0.00007934,0.77213260,0.77270819,221.84873950,150.00000000,80.00000000
112,112,0.02888220,-0.00007992,0.77517586,0.77571373,223.86554622,150.00000000,80.00000000
113,113,0.02797449,-0.00008049,0.77817847,0.77868114,225.88235294,150.00000000,80.00000000
114,114,0.02709530,-0.00008105,0.78114098,0.78161077,227.89915966,150.00000000,80.00000000
115,115,0.02624375,-0.00008161,0.78406393,0.78450302,229.91596639,150.00000000,80.00000000
116,116,0.02541895,-0.00008217,0.78694784,0.78735826,231.93277311,150.00000000,80.00000000
117,117,0.02462008,-0.00008271,0.78979324,0.79017689,233.94957983,150.00000000,80.00000000
118,118,0.02384631,-0.00008326,0.79260063,0.79295928,235.96638655,150.00000000,80.00000000
119,119,0.02309687,-0.00008379,0.79537053,0.79570582,237.98319328,150.00000000,80.00000000
120,120,0.02237098,-0.00008432,0.79810344,0.79841691,240.00000000,150.00000000,80.00000000
