frame,houdini_frame,point_id,x,y,z,u,purity,intensity
1,1,0,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
1,1,1,0.040816,0.000000,0.000000,0.020408,1.000000,0.993878
1,1,2,0.081633,0.000000,0.000000,0.040816,1.000000,0.987755
1,1,3,0.122449,0.000000,0.000000,0.061224,1.000000,0.981633
1,1,4,0.163265,0.000000,0.000000,0.081633,1.000000,0.975510
1,1,5,0.204082,0.000000,0.000000,0.102041,1.000000,0.969388
1,1,6,0.244898,0.000000,0.000000,0.122449,1.000000,0.963265
1,1,7,0.285714,0.000000,0.000000,0.142857,1.000000,0.957143
1,1,8,0.326531,0.000000,0.000000,0.163265,1.000000,0.951020
1,1,9,0.367347,0.000000,0.000000,0.183673,1.000000,0.944898
1,1,10,0.408163,0.000000,0.000000,0.204082,1.000000,0.938776
1,1,11,0.448980,0.000000,0.000000,0.224490,1.000000,0.932653
1,1,12,0.489796,0.000000,0.000000,0.244898,1.000000,0.926531
1,1,13,0.530612,0.000000,0.000000,0.265306,1.000000,0.920408
1,1,14,0.571429,0.000000,0.000000,0.285714,1.000000,0.914286
1,1,15,0.612245,0.000000,0.000000,0.306122,1.000000,0.908163
1,1,16,0.653061,0.000000,0.000000,0.326531,1.000000,0.902041
1,1,17,0.693878,0.000000,0.000000,0.346939,1.000000,0.895918
1,1,18,0.734694,0.000000,0.000000,0.367347,1.000000,0.889796
1,1,19,0.775510,0.000000,0.000000,0.387755,1.000000,0.883673
1,1,20,0.816327,0.000000,0.000000,0.408163,1.000000,0.877551
1,1,21,0.857143,0.000000,0.000000,0.428571,1.000000,0.871429
1,1,22,0.897959,0.000000,0.000000,0.448980,1.000000,0.865306
1,1,23,0.938776,0.000000,0.000000,0.469388,1.000000,0.859184
1,1,24,0.979592,0.000000,0.000000,0.489796,1.000000,0.853061
1,1,25,1.020408,0.000000,0.000000,0.510204,1.000000,0.846939
1,1,26,1.061224,0.000000,0.000000,0.530612,1.000000,0.840816
1,1,27,1.102041,0.000000,0.000000,0.551020,1.000000,0.834694
1,1,28,1.142857,0.000000,0.000000,0.571429,1.000000,0.828571
