frame,houdini_frame,point_id,x,y,z,u,purity,intensity,width
1,1,0,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.180000
1,1,1,0.033898,0.000000,0.000000,0.016949,1.000000,0.991561,0.177288
1,1,2,0.067797,0.000000,0.000000,0.033898,1.000000,0.983194,0.174576
1,1,3,0.101695,0.000000,0.000000,0.050847,1.000000,0.974897,0.171864
1,1,4,0.135593,0.000000,0.000000,0.067797,1.000000,0.966670,0.169153
1,1,5,0.169492,0.000000,0.000000,0.084746,1.000000,0.958512,0.166441
1,1,6,0.203390,0.000000,0.000000,0.101695,1.000000,0.950424,0.163729
1,1,7,0.237288,0.000000,0.000000,0.118644,1.000000,0.942403,0.161017
1,1,8,0.271186,0.000000,0.000000,0.135593,1.000000,0.934451,0.158305
1,1,9,0.305085,0.000000,0.000000,0.152542,1.000000,0.926565,0.155593
1,1,10,0.338983,0.000000,0.000000,0.169492,1.000000,0.918746,0.152881
1,1,11,0.372881,0.000000,0.000000,0.186441,1.000000,0.910993,0.150169
1,1,12,0.406780,0.000000,0.000000,0.203390,1.000000,0.903305,0.147458
1,1,13,0.440678,0.000000,0.000000,0.220339,1.000000,0.895682,0.144746
1,1,14,0.474576,0.000000,0.000000,0.237288,1.000000,0.888124,0.142034
1,1,15,0.508475,0.000000,0.000000,0.254237,1.000000,0.880629,0.139322
1,1,16,0.542373,0.000000,0.000000,0.271186,1.000000,0.873198,0.136610
1,1,17,0.576271,0.000000,0.000000,0.288136,1.000000,0.865829,0.133898
1,1,18,0.610169,0.000000,0.000000,0.305085,1.000000,0.858523,0.131186
1,1,19,0.644068,0.000000,0.000000,0.322034,1.000000,0.851278,0.128475
1,1,20,0.677966,0.000000,0.000000,0.338983,1.000000,0.844094,0.125763
1,1,21,0.711864,0.000000,0.000000,0.355932,1.000000,0.836971,0.123051
1,1,22,0.745763,0.000000,0.000000,0.372881,1.000000,0.829908,0.120339
1,1,23,0.779661,0.000000,0.000000,0.389831,1.000000,0.822904,0.117627
1,1,24,0.813559,0.000000,0.000000,0.406780,1.000000,0.815960,0.114915
1,1,25,0.847458,0.000000,0.000000,0.423729,1.000000,0.809074,0.112203
1,1,26,0.881356,0.000000,0.000000,0.440678,1.000000,0.802247,0.109492
1,1,27,0.915254,0.000000,0.000000,0.457627,1.000000,0.795477,0.106780
1,1,28,0.949153,0.000000,0.000000,0.474576,1.000000,0.788764,0.104068
1,1,29,0.983051,0.000000,0.000000,0.491525,1.000000,0.782108,0.101356
1,1,30,1.016949,0.000000,0.000000,0.508475,1.000000,0.775508,0.098644
1,1,31,1.050847,0.000000,0.000000,0.525424,1.000000,0.768963,0.095932
1,1,32,1.084746,0.000000,0.000000,0.542373,1.000000,0.762474,0.093220
1,1,33,1.118644,0.000000,0.000000,0.559322,1.000000,0.756040,0.090508
1,1,34,1.152542,0.000000,0.000000,0.576271,1.000000,0.749660,0.087797
1,1,35,1.186441,0.000000,0.000000,0.593220,1.000000,0.743334,0.085085
1,1,36,1.220339,0.000000,0.000000,0.610169,1.000000,0.737061,0.082373
1,1,37,1.254237,0.000000,0.000000,0.627119,1.000000,0.730841,0.079661
1,1,38,1.288136,0.000000,0.000000,0.644068,1.000000,0.724674,0.076949
1,1,39,1.322034,0.000000,0.000000,0.661017,1.000000,0.718558,0.074237
1,1,40,1.355932,0.000000,0.000000,0.677966,1.000000,0.712495,0.071525
1,1,41,1.389831,0.000000,0.000000,0.694915,1.000000,0.706482,0.068814
1,1,42,1.423729,0.000000,0.000000,0.711864,1.000000,0.700520,0.066102
1,1,43,1.457627,0.000000,0.000000,0.728814,1.000000,0.694609,0.063390
1,1,44,1.491525,0.000000,0.000000,0.745763,1.000000,0.688747,0.060678
1,1,45,1.525424,0.000000,0.000000,0.762712,1.000000,0.682935,0.057966
1,1,46,1.559322,0.000000,0.000000,0.779661,1.000000,0.677172,0.055254
1,1,47,1.593220,0.000000,0.000000,0.796610,1.000000,0.671457,0.052542
1,1,48,1.627119,0.000000,0.000000,0.813559,1.000000,0.665791,0.049831
1,1,49,1.661017,0.000000,0.000000,0.830508,1.000000,0.660172,0.047119
1,1,50,1.694915,0.000000,0.000000,0.847458,1.000000,0.654601,0.044407
1,1,51,1.728814,0.000000,0.000000,0.864407,1.000000,0.649077,0.041695
1,1,52,1.762712,0.000000,0.000000,0.881356,1.000000,0.643600,0.038983
1,1,53,1.796610,0.000000,0.000000,0.898305,1.000000,0.638169,0.036271
1,1,54,1.830508,0.000000,0.000000,0.915254,1.000000,0.632783,0.033559
1,1,55,1.864407,0.000000,0.000000,0.932203,1.000000,0.627443,0.030847
1,1,56,1.898305,0.000000,0.000000,0.949153,1.000000,0.622149,0.028136
1,1,57,1.932203,0.000000,0.000000,0.966102,1.000000,0.616898,0.025424
1,1,58,1.966102,0.000000,0.000000,0.983051,1.000000,0.611693,0.022712
1,1,59,2.000000,0.000000,0.000000,1.000000,1.000000,0.606531,0.020000
2,2,0,0.000000,0.000000,0.000000,0.000000,0.983403,0.983403,0.177013
2,2,1,0.033860,0.001336,0.000884,0.016949,0.983403,0.975104,0.174346
2,2,2,0.067721,0.002672,0.001767,0.033898,0.983403,0.966875,0.171679
2,2,3,0.101581,0.004008,0.002651,0.050847,0.983403,0.958716,0.169012
2,2,4,0.135442,0.005344,0.003535,0.067797,0.983403,0.950626,0.166345
2,2,5,0.169302,0.006680,0.004418,0.084746,0.983403,0.942604,0.163678
2,2,6,0.203163,0.008016,0.005302,0.101695,0.983403,0.934649,0.161011
2,2,7,0.237023,0.009352,0.006186,0.118644,0.983403,0.926762,0.158345
2,2,8,0.270884,0.010688,0.007069,0.135593,0.983403,0.918941,0.155678
2,2,9,0.304744,0.012024,0.007953,0.152542,0.983403,0.911187,0.153011
2,2,10,0.338604,0.013360,0.008837,0.169492,0.983403,0.903497,0.150344
2,2,11,0.372465,0.014695,0.009720,0.186441,0.983403,0.895873,0.147677
2,2,12,0.406325,0.016031,0.010604,0.203390,0.983403,0.888313,0.145010
2,2,13,0.440186,0.017367,0.011487,0.220339,0.983403,0.880817,0.142343
2,2,14,0.474046,0.018703,0.012371,0.237288,0.983403,0.873384,0.139677
2,2,15,0.507907,0.020039,0.013255,0.254237,0.983403,0.866013,0.137010
2,2,16,0.541767,0.021375,0.014138,0.271186,0.983403,0.858705,0.134343
2,2,17,0.575627,0.022711,0.015022,0.288136,0.983403,0.851459,0.131676
2,2,18,0.609488,0.024047,0.015906,0.305085,0.983403,0.844274,0.129009
2,2,19,0.643348,0.025383,0.016789,0.322034,0.983403,0.837149,0.126342
2,2,20,0.677209,0.026719,0.017673,0.338983,0.983403,0.830084,0.123675
2,2,21,0.711069,0.028055,0.018557,0.355932,0.983403,0.823079,0.121009
2,2,22,0.744930,0.029391,0.019440,0.372881,0.983403,0.816134,0.118342
2,2,23,0.778790,0.030727,0.020324,0.389831,0.983403,0.809247,0.115675
2,2,24,0.812651,0.032063,0.021208,0.406780,0.983403,0.802418,0.113008
2,2,25,0.846511,0.033399,0.022091,0.423729,0.983403,0.795646,0.110341
2,2,26,0.880371,0.034735,0.022975,0.440678,0.983403,0.788932,0.107674
2,2,27,0.914232,0.036071,0.023859,0.457627,0.983403,0.782274,0.105007
2,2,28,0.948092,0.037407,0.024742,0.474576,0.983403,0.775673,0.102341
2,2,29,0.981953,0.038743,0.025626,0.491525,0.983403,0.769127,0.099674
2,2,30,1.015813,0.040079,0.026510,0.508475,0.983403,0.762637,0.097007
2,2,31,1.049674,0.041415,0.027393,0.525424,0.983403,0.756201,0.094340
2,2,32,1.083534,0.042750,0.028277,0.542373,0.983403,0.749819,0.091673
2,2,33,1.117395,0.044086,0.029161,0.559322,0.983403,0.743492,0.089006
2,2,34,1.151255,0.045422,0.030044,0.576271,0.983403,0.737218,0.086339
2,2,35,1.185115,0.046758,0.030928,0.593220,0.983403,0.730997,0.083673
2,2,36,1.218976,0.048094,0.031811,0.610169,0.983403,0.724828,0.081006
2,2,37,1.252836,0.049430,0.032695,0.627119,0.983403,0.718711,0.078339
2,2,38,1.286697,0.050766,0.033579,0.644068,0.983403,0.712646,0.075672
2,2,39,1.320557,0.052102,0.034462,0.661017,0.983403,0.706632,0.073005
2,2,40,1.354418,0.053438,0.035346,0.677966,0.983403,0.700669,0.070338
2,2,41,1.388278,0.054774,0.036230,0.694915,0.983403,0.694756,0.067671
2,2,42,1.422139,0.056110,0.037113,0.711864,0.983403,0.688893,0.065005
2,2,43,1.455999,0.057446,0.037997,0.728814,0.983403,0.683080,0.062338
2,2,44,1.489859,0.058782,0.038881,0.745763,0.983403,0.677316,0.059671
2,2,45,1.523720,0.060118,0.039764,0.762712,0.983403,0.671600,0.057004
2,2,46,1.557580,0.061454,0.040648,0.779661,0.983403,0.665933,0.054337
2,2,47,1.591441,0.062790,0.041532,0.796610,0.983403,0.660313,0.051670
2,2,48,1.625301,0.064126,0.042415,0.813559,0.983403,0.654741,0.049003
2,2,49,1.659162,0.065462,0.043299,0.830508,0.983403,0.649215,0.046337
2,2,50,1.693022,0.066798,0.044183,0.847458,0.983403,0.643737,0.043670
2,2,51,1.726882,0.068134,0.045066,0.864407,0.983403,0.638305,0.041003
2,2,52,1.760743,0.069470,0.045950,0.881356,0.983403,0.632918,0.038336
2,2,53,1.794603,0.070805,0.046834,0.898305,0.983403,0.627577,0.035669
2,2,54,1.828464,0.072141,0.047717,0.915254,0.983403,0.622281,0.033002
2,2,55,1.862324,0.073477,0.048601,0.932203,0.983403,0.617030,0.030335
2,2,56,1.896185,0.074813,0.049485,0.949153,0.983403,0.611823,0.027669
2,2,57,1.930045,0.076149,0.050368,0.966102,0.983403,0.606660,0.025002
2,2,58,1.963906,0.077485,0.051252,0.983051,0.983403,0.601540,0.022335
2,2,59,1.997766,0.078821,0.052136,1.000000,0.983403,0.596464,0.019668
3,3,0,0.000000,0.000000,0.000000,0.000000,0.967081,0.967081,0.174075
3,3,1,0.033748,0.002667,0.001752,0.016949,0.967081,0.958920,0.171452
3,3,2,0.067496,0.005334,0.003504,0.033898,0.967081,0.950828,0.168829
3,3,3,0.101243,0.008001,0.005256,0.050847,0.967081,0.942804,0.166207
3,3,4,0.134991,0.010669,0.007008,0.067797,0.967081,0.934848,0.163584
3,3,5,0.168739,0.013336,0.008760,0.084746,0.967081,0.926959,0.160962
3,3,6,0.202487,0.016003,0.010512,0.101695,0.967081,0.919137,0.158339
3,3,7,0.236234,0.018670,0.012264,0.118644,0.967081,0.911380,0.155716
3,3,8,0.269982,0.021337,0.014016,0.135593,0.967081,0.903690,0.153094
3,3,9,0.303730,0.024004,0.015769,0.152542,0.967081,0.896064,0.150471
3,3,10,0.337478,0.026672,0.017521,0.169492,0.967081,0.888502,0.147849
3,3,11,0.371225,0.029339,0.019273,0.186441,0.967081,0.881004,0.145226
3,3,12,0.404973,0.032006,0.021025,0.203390,0.967081,0.873569,0.142604
3,3,13,0.438721,0.034673,0.022777,0.220339,0.967081,0.866198,0.139981
3,3,14,0.472469,0.037340,0.024529,0.237288,0.967081,0.858888,0.137358
3,3,15,0.506216,0.040007,0.026281,0.254237,0.967081,0.851640,0.134736
3,3,16,0.539964,0.042675,0.028033,0.271186,0.967081,0.844453,0.132113
3,3,17,0.573712,0.045342,0.029785,0.288136,0.967081,0.837327,0.129491
3,3,18,0.607460,0.048009,0.031537,0.305085,0.967081,0.830261,0.126868
3,3,19,0.641208,0.050676,0.033289,0.322034,0.967081,0.823255,0.124245
3,3,20,0.674955,0.053343,0.035041,0.338983,0.967081,0.816307,0.121623
3,3,21,0.708703,0.056010,0.036793,0.355932,0.967081,0.809419,0.119000
3,3,22,0.742451,0.058678,0.038545,0.372881,0.967081,0.802588,0.116378
3,3,23,0.776199,0.061345,0.040297,0.389831,0.967081,0.795815,0.113755
3,3,24,0.809946,0.064012,0.042049,0.406780,0.967081,0.789100,0.111132
3,3,25,0.843694,0.066679,0.043801,0.423729,0.967081,0.782441,0.108510
3,3,26,0.877442,0.069346,0.045553,0.440678,0.967081,0.775838,0.105887
3,3,27,0.911190,0.072013,0.047306,0.457627,0.967081,0.769291,0.103265
3,3,28,0.944937,0.074681,0.049058,0.474576,0.967081,0.762799,0.100642
3,3,29,0.978685,0.077348,0.050810,0.491525,0.967081,0.756362,0.098019
3,3,30,1.012433,0.080015,0.052562,0.508475,0.967081,0.749979,0.095397
3,3,31,1.046181,0.082682,0.054314,0.525424,0.967081,0.743650,0.092774
3,3,32,1.079928,0.085349,0.056066,0.542373,0.967081,0.737375,0.090152
3,3,33,1.113676,0.088016,0.057818,0.559322,0.967081,0.731152,0.087529
3,3,34,1.147424,0.090684,0.059570,0.576271,0.967081,0.724982,0.084906
3,3,35,1.181172,0.093351,0.061322,0.593220,0.967081,0.718864,0.082284
3,3,36,1.214920,0.096018,0.063074,0.610169,0.967081,0.712798,0.079661
3,3,37,1.248667,0.098685,0.064826,0.627119,0.967081,0.706783,0.077039
3,3,38,1.282415,0.101352,0.066578,0.644068,0.967081,0.700818,0.074416
3,3,39,1.316163,0.104019,0.068330,0.661017,0.967081,0.694904,0.071793
3,3,40,1.349911,0.106687,0.070082,0.677966,0.967081,0.689040,0.069171
3,3,41,1.383658,0.109354,0.071834,0.694915,0.967081,0.683225,0.066548
3,3,42,1.417406,0.112021,0.073586,0.711864,0.967081,0.677460,0.063926
3,3,43,1.451154,0.114688,0.075338,0.728814,0.967081,0.671743,0.061303
3,3,44,1.484902,0.117355,0.077090,0.745763,0.967081,0.666074,0.058681
